iso_a0,adm_1_name,lat,lon
ARG,BUENOS AIRES,-34.6095579,-58.3887904
ARG,CATAMARCA,-27.7758659,-67.171292
ARG,CHACO,-26.3829647,-60.8816092
ARG,CORDOBA,-31.4166867,-64.1834193
ARG,CORRIENTES,-29.0177384,-57.8869739
ARG,ENTRE RIOS,-32.1290686,-59.5077664
ARG,FORMOSA,-24.5955306,-60.4289718
ARG,JUJUY,-23.1546219,-66.1110913
ARG,LA RIOJA,-29.7824554,-67.1147124
ARG,MENDOZA,-34.5970325,-68.7304797
ARG,MISIONES,-26.737224,-54.4315257
ARG,SALTA,-25.2269908,-64.5911956
ARG,SAN JUAN,-30.7054363,-69.1988222
ARG,SAN LUIS,-33.8985562,-66.0614179
ARG,SANTA FE,-30.3154739,-61.1645076
ARG,SANTIAGO DEL ESTERO,-27.6431016,-63.5408542
ARG,TUCUMAN,-27.0448424,-65.3657954
BOL,BENI,-14.0,-65.0
BOL,CHUQUISACA,-19.0477251,-65.2594306
BOL,COCHABAMBA,-17.4012458,-66.1675681
BOL,LA PAZ,-16.4955455,-68.1336229
BOL,ORURO,-18.666667,-67.666667
BOL,PANDO,-11.183333,-67.183333
BOL,POTOSI,-19.5892896,-65.7534713
BOL,SANTA CRUZ,-17.7834217,-63.1820853
BOL,TARIJA,-21.583333,-63.833333
BRA,ACRE,-9.0478679,-70.5264976
BRA,ALAGOAS,-9.6611661,-36.6502426
BRA,AMAPA,1.3545442,-51.9161977
BRA,AMAZONAS,-3.2001766,-59.4989288
BRA,BAHIA,-12.285251,-41.9294776
BRA,CEARA,-5.3264703,-39.7156073
BRA,DISTRITO FEDERAL,-15.7754462,-47.7970891
BRA,ESPIRITO SANTO,-19.5687682,-40.1721991
BRA,GOIAS,-15.9323662,-50.1392928
BRA,MARANHAO,-5.2085503,-45.3930262
BRA,MATO GROSSO,-12.2115009,-55.5716547
BRA,MATO GROSSO DO SUL,-19.5852564,-54.4794731
BRA,MINAS GERAIS,-18.5264844,-44.1588654
BRA,PARA,-4.7493933,-52.8973006
BRA,PARAIBA,-7.1219366,-36.7246845
BRA,PARANA,-24.4842187,-51.8148872
BRA,PERNAMBUCO,-8.4116316,-37.5919699
BRA,PIAUI,-7.6992782,-42.5043787
BRA,RIO DE JANEIRO,-22.9110137,-43.2093727
BRA,RIO GRANDE DO NORTE,-5.6781175,-36.4781776
BRA,RIO GRANDE DO SUL,-29.8425284,-53.7680577
BRA,RONDONIA,-10.943145,-62.8277863
BRA,RORAIMA,2.135138,-61.3631922
BRA,SANTA CATARINA,-27.0628367,-51.114965
BRA,SAO PAULO,-23.5506507,-46.6333824
BRA,SERGIPE,-10.6743911,-37.3773519
BRA,TOCANTINS,-10.8855129,-48.3716912
COL,AMAZONAS,-1.305299,-71.4659212
COL,ANTIOQUIA,7.0000085,-75.5000086
COL,ARAUCA,6.6666755,-71.0000086
COL,ATLANTICO,10.6773422,-74.9718666
COL,BOGOTA,4.6533817,-74.0836331
COL,BOLIVAR,9.3660477,-74.8023636
COL,BOYACA,5.6278979,-72.8268617
COL,CALDAS,5.3302514,-75.2873471
COL,CAQUETA,1.1153385,-74.1056838
COL,CASANARE,5.5000085,-71.5000086
COL,CAUCA,2.715645,-76.662665
COL,CESAR,9.3333415,-73.5000086
COL,CHOCO,6.0000085,-77.0000086
COL,CORDOBA,8.3344713,-75.6666238
COL,CUNDINAMARCA,4.7831994,-73.6731282
COL,GUAINIA,2.5000086,-69.0000086
COL,GUAJIRA,11.2599671,-73.4155977
COL,GUAVIARE,1.7899198,-72.3761784
COL,HUILA,2.4738993,-75.5900113
COL,MAGDALENA,10.5808075,-74.0685669
COL,META,3.5000086,-73.0000086
COL,NARINO,1.5842268,-77.8585766
COL,NORTE SANTANDER,2.8766786,-76.5069305
COL,PUTUMAYO,0.5000086,-76.0000086
COL,QUINDIO,4.4028313,-75.7025795
COL,RISARALDA,5.2102948,-75.9842236
COL,SAN ANDRES,12.5830104,-81.6975682
COL,SANTANDER,7.0000085,-73.2500086
COL,SUCRE,9.0,-75.0
COL,TOLIMA,4.0355786,-75.2086642
COL,VALLE,3.6984053,-76.5501996
COL,VAUPES,0.4228124,-70.9468372
COL,VICHADA,4.8686613,-69.3736658
ECU,AZUAY,-3.0524451,-79.2395135
ECU,BOLIVAR,-1.5392733,-79.0816505
ECU,CANAR,-2.574484,-78.9804678
ECU,CHIMBORAZO,-1.9262626,-78.7297799
ECU,COTOPAXI,-0.8268521,-78.8937757
ECU,EL ORO,-3.5311093,-79.8333234
ECU,ESMERALDAS,0.7343619,-79.3858867
ECU,GALAPAGOS,-0.0606899,-90.673898
ECU,GUAYAS,-2.0,-80.0
ECU,IMBABURA,0.3753621,-78.355681
ECU,LOJA,-4.0528506,-79.8053425
ECU,LOS RIOS,-1.4941273,-79.5542485
ECU,MANABI,-0.7588025,-80.0612131
ECU,MORONA SANTIAGO,-2.6232969,-78.0048106
ECU,NAPO,-0.6081965,-77.9520341
ECU,ORELLANA,-0.78618,-76.4803184
ECU,PASTAZA,-1.916667,-77.0
ECU,PICHINCHA,-0.0584893,-78.3284371
ECU,SUCUMBIOS,-0.039138,-76.5119678
ECU,ZAMORA CHINCHIPE,-4.0620183,-78.7751588
MEX,AGUASCALIENTES,21.880487,-102.2967195
MEX,BAJA CALIFORNIA,30.0338923,-115.1425107
MEX,BAJA CALIFORNIA SUR,25.5818014,-111.5706164
MEX,CAMPECHE,19.0,-90.5
MEX,CHIAPAS,16.5000001,-92.5000001
MEX,CHIHUAHUA,28.5000001,-106.0000001
MEX,COAHUILA,27.3333331,-102.0000001
MEX,COLIMA,19.166667,-104.0
MEX,DISTRITO FEDERAL,19.3207722,-99.1514678
MEX,DURANGO,24.833333,-104.833333
MEX,GUANAJUATO,20.9876996,-101.0
MEX,GUERRERO,17.666667,-100.0
MEX,HIDALGO,20.5,-99.0
MEX,JALISCO,20.3333331,-103.6666671
MEX,MEXICO,19.3207722,-99.1514678
MEX,MICHOACAN,19.207098,-101.878113
MEX,MORELOS,18.75,-99.0
MEX,NAYARIT,22.0000001,-105.0000001
MEX,NUEVO LEON,26.2384363,-99.8873
MEX,OAXACA,17.0,-96.5
MEX,PUEBLA,18.833333,-98.0
MEX,QUERETARO,20.8052225,-99.8837376
MEX,QUINTANA ROO,19.6666671,-88.5000001
MEX,SAN LUIS POTOSI,22.5000001,-100.4949145
MEX,SINALOA,25.0000001,-107.5000001
MEX,SONORA,29.3333331,-110.6666671
MEX,TABASCO,17.9999288,-92.6681659
MEX,TAMAULIPAS,23.9891553,-98.7026825
MEX,TLAXCALA,19.416667,-98.166667
MEX,VERACRUZ,19.333333,-96.666667
MEX,YUCATAN,20.6845957,-88.8755669
MEX,ZACATECAS,23.0916177,-102.9333954
NIC,BILWI,14.0284017,-83.3822587
NIC,BOACO,12.2551759,-85.724364
NIC,CARAZO,11.6619985,-86.3125697
NIC,CHINANDEGA,12.7777962,-87.269584
NIC,CHONTALES,11.9876753,-85.1860798
NIC,ESTELI,13.0929621,-86.3561571
NIC,GRANADA,11.930367,-85.9535387
NIC,JINOTEGA,13.8038301,-85.39452
NIC,LEON,12.3021275,-86.9679698
NIC,MADRIZ,13.4272871,-86.401622
NIC,MANAGUA,12.1547116,-86.273725
NIC,MASAYA,11.9736474,-86.0960547
NIC,MATAGALPA,12.940323,-85.6960942
NIC,NUEVA SEGOVIA,13.7719023,-86.0584542
NIC,REGION AUTONOMA DEL ATLANTICO SUR,12.1793275,-83.7774051
NIC,RIO SAN JUAN,11.3080026,-84.7550693
NIC,RIVAS,11.4416741,-85.7591501
NIC,ZELAYA CENTRAL,11.6886282,-84.4552684
PAN,BOCAS DEL TORO,9.2684749,-81.9932387
PAN,CHIRIQUI,8.0549566,-82.2714778
PAN,COCLE,8.5729744,-80.4454346
PAN,COLON,9.3553005,-79.8974085
PAN,DARIEN,8.2158991,-78.0172551
PAN,HERRERA,7.8544381,-80.7436313
PAN,KUNA YALA,9.5749727,-78.8510013
PAN,LOS SANTOS,7.7056416,-80.0873345
PAN,NGOBE BUGLE,8.793244,-81.7682694
PAN,PANAMA,8.9714493,-79.5341802
PAN,VERAGUAS,8.2414131,-81.0903464
PER,AMAZONAS,-5.0,-78.0
PER,ANCASH,-9.5,-77.75
PER,AYACUCHO,-14.0,-74.0
PER,CAJAMARCA,-6.25,-78.833333
PER,CALLAO,-12.0864633,-77.2234463
PER,CUSCO,-13.5170887,-71.9785356
PER,HUANUCO,-9.5,-75.833333
PER,ICA,-14.3325,-75.499722
PER,JUNIN,-11.5,-75.0
PER,LA LIBERTAD,-8.0,-78.5
PER,LAMBAYEQUE,-6.333333,-80.0
PER,LIMA,-12.0459808,-77.0305912
PER,LORETO,-5.0,-75.0
PER,MADRE DE DIOS,-12.0,-70.25
PER,PASCO,-10.5,-75.25
PER,PIURA,-5.0,-80.333333
PER,PUNO,-15.0,-70.0
PER,SAN MARTIN,-7.0,-76.833333
PER,TUMBES,-3.833333,-80.5
PER,UCAYALI,-9.0,-73.5
